,0,1
0,ANDAMAN & NICOBAR,SOUTH ANDAMAN
1,NAGALAND,DIMAPUR
2,NAGALAND,MOKOKCHUNG
3,NAGALAND,LONGLENG
4,NAGALAND,WOKHA
5,NAGALAND,ZUNHEBOTO
6,NAGALAND,KIPHIRE
7,NAGALAND,PEREN
8,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI
9,MEGHALAYA,WEST KHASI HILLS
10,MEGHALAYA,RI BHOI
11,MEGHALAYA,WEST GARO HILLS
12,MEGHALAYA,EAST KHASI HILLS
13,MEGHALAYA,SOUTH GARO HILLS
14,PONDICHERRY,MAHE
15,PONDICHERRY,KARAIKAL
16,PONDICHERRY,YANAM
17,GOA,NORTH GOA
18,Ladakh,KARGIL
19,Ladakh,Ladakh dist1
20,Ladakh,Leh (ladakh)
21,LAKSHDWEEP,LAKSHADWEEP
22,MANIPUR,CHANDEL
23,MANIPUR,TAMENGLONG
24,MANIPUR,IMPHAL EAST
25,MANIPUR,THOUBAL
26,MANIPUR,UKHRUL
27,MANIPUR,BISHNUPUR
28,MIZORAM,SAIHA
29,MIZORAM,LUNGLEI
30,MIZORAM,MAMIT
31,MIZORAM,LAWANGTLAI
32,MIZORAM,SERCHHIP
33,MIZORAM,KOLASIB
34,HARYANA,PALWAL
35,HARYANA,MEWAT
36,DELHI,WEST
37,DELHI,NORTH WEST
38,DELHI,SOUTH
39,DELHI,NEW DELHI
40,DELHI,NORTH
41,DELHI,EAST
42,DELHI,SOUTH WEST
43,DELHI,NORTH EAST
44,PUNJAB,MANSA
45,PUNJAB,SAHIBZADA AJIT SINGH NAGAR
46,PUNJAB,TARN TARAN
47,PUNJAB,BARNALA
48,DAMAN & DIU,DAMAN
49,JAMMU & KASHMIR,SAMBA
50,JAMMU & KASHMIR,RAJOURI
51,JAMMU & KASHMIR,J&K District 1
